IDpol,ClaimAmount,Region,VehBrand,VehPower,VehAge,DrivAge,BonusMalus,Area,VehGas
1120377,4075400.56,Centre,B2,9,13,19,100,B,Regular
110846,1403057.4,Centre,B1,6,13,20,100,C,Regular
2141337,1301172.6,Rhone-Alpes,B2,4,14,18,100,D,Regular
3122016,774411.5,Rhone-Alpes,B11,7,7,40,63,E,Diesel
2008127,390742.27,Rhone-Alpes,B4,4,2,57,50,D,Regular
3025890,369131.88,Champagne-Ardenne,B12,7,1,36,50,A,Diesel
1117644,307096.42,Bretagne,B3,7,1,21,90,C,Diesel
158309,301635.49,Centre,B1,6,3,46,50,A,Diesel
3075820,287423.0,Provence-Alpes-Cotes-D'Azur,B10,7,18,78,50,E,Regular
3150210,281897.49,Centre,B3,6,4,61,54,D,Diesel
4169019,276643.0,Rhone-Alpes,B4,4,14,27,100,E,Diesel
1096763,255013.03,Centre,B2,4,12,27,90,C,Regular
2206511,241171.16,Centre,B2,7,5,31,51,B,Diesel
4159792,211204.0,Centre,B1,5,9,72,50,C,Diesel
3103319,209695.87,Centre,B2,6,10,61,50,A,Diesel
3059946,208472.6,Lorraine,B2,6,17,73,50,D,Regular
1067220,205432.05,Provence-Alpes-Cotes-D'Azur,B2,10,14,83,50,C,Regular
2070262,205132.0,Centre,B1,4,13,21,140,A,Diesel
2202813,203172.0,Picardie,B1,6,7,26,68,D,Diesel
5033465,200885.0,Corse,B12,10,2,33,80,D,Regular
3196736,186584.15,Centre,B1,4,13,33,72,A,Regular
53865,183073.66,Ile-de-France,B2,6,1,23,80,E,Regular
2096700,182878.18,Rhone-Alpes,B3,10,2,72,55,D,Diesel
3172846,182500.0,Centre,B2,10,21,38,72,A,Diesel
3083780,182050.0,Rhone-Alpes,B2,7,15,21,100,E,Diesel
4138268,181204.0,Bretagne,B2,5,6,70,50,A,Regular
105098,152333.22,Provence-Alpes-Cotes-D'Azur,B11,14,12,35,64,E,Regular
1107370,152084.96,Centre,B3,4,15,26,85,A,Diesel
4073213,139477.15,Provence-Alpes-Cotes-D'Azur,B12,7,3,54,52,D,Diesel
154968,137169.81,Centre,B2,7,10,72,50,A,Diesel
1043258,132628.12,Centre,B1,6,8,39,106,D,Regular
2209888,128902.06,Bretagne,B13,6,7,35,71,D,Diesel
5068147,125847.05,Ile-de-France,B12,4,6,23,100,E,Regular
1017853,121959.21,Basse-Normandie,B12,6,11,51,50,C,Diesel
2226904,120000.0,Languedoc-Roussillon,B12,7,3,67,72,C,Regular
4167474,118000.0,Rhone-Alpes,B3,9,14,20,100,C,Regular
30738,116318.9,Bretagne,B13,11,11,37,50,C,Regular
2125576,115484.11,Centre,B1,7,10,49,50,C,Regular
28509,115232.88,Centre,B1,8,9,76,50,A,Diesel
3041107,114759.95,Ile-de-France,B3,6,15,39,100,F,Regular
2205491,109743.72,Rhone-Alpes,B3,12,6,40,76,D,Regular
5041230,99260.24,Rhone-Alpes,B12,6,2,77,60,E,Regular
43832,96422.32,Centre,B5,5,4,75,50,C,Regular
2101212,92149.0,Centre,B11,7,7,52,71,D,Diesel
4176317,89480.64,Centre,B1,7,16,60,50,A,Regular
2009256,86729.6,Centre,B12,6,1,58,50,A,Regular
3068252,86719.2,Ile-de-France,B1,6,11,41,85,C,Regular
5055089,85552.27,Aquitaine,B12,7,5,33,57,D,Diesel
175126,85442.21,Centre,B2,7,16,34,90,C,Regular
3097066,78104.83,Provence-Alpes-Cotes-D'Azur,B1,4,4,47,50,E,Regular
3234374,75000.0,Provence-Alpes-Cotes-D'Azur,B13,6,8,41,76,E,Diesel
109729,74966.23,Bretagne,B4,7,12,41,50,A,Regular
85926,74784.9,Provence-Alpes-Cotes-D'Azur,B2,6,5,24,95,C,Diesel
4001936,73831.86,Aquitaine,B12,6,1,48,50,C,Regular
77327,73002.7,Nord-Pas-de-Calais,B4,6,0,48,50,D,Diesel
125903,71791.29,Centre,B2,5,0,32,62,E,Diesel
3150345,71339.92,Centre,B4,7,12,38,106,D,Regular
63532,70208.0,Provence-Alpes-Cotes-D'Azur,B1,6,12,47,50,E,Diesel
2208742,70000.0,Bretagne,B5,5,10,57,50,C,Diesel
2166361,70000.0,Centre,B1,4,4,31,72,C,Regular
17711,69348.0,Bretagne,B2,6,5,50,50,A,Diesel
160298,69317.47,Centre,B4,7,1,52,50,A,Diesel
1188708,68700.0,Provence-Alpes-Cotes-D'Azur,B5,8,17,66,76,E,Regular
5042180,68361.0,Aquitaine,B11,9,8,47,50,D,Regular
2200340,68088.66,Basse-Normandie,B4,7,2,64,50,E,Regular
2081784,67986.88,Poitou-Charentes,B1,5,7,40,50,A,Regular
18916,66458.9,Centre,B11,10,7,49,50,B,Regular
1122179,66423.85,Aquitaine,B2,5,1,23,76,E,Diesel
3049203,65181.79,Pays-de-la-Loire,B2,5,17,52,55,E,Regular
3105789,65100.0,Centre,B2,6,9,52,50,A,Diesel
148604,64047.64,Ile-de-France,B1,6,5,38,76,D,Diesel
1057872,63497.87,Bretagne,B3,7,6,21,90,C,Regular
2211587,62400.0,Pays-de-la-Loire,B1,4,13,53,50,A,Diesel
4037514,61469.0,Ile-de-France,B12,8,1,71,50,E,Regular
