DrivAgeBand,VehPowerBand,PolicyCount,Exposure,ClaimCount,ClaimFrequency,TotalClaimCost,AvgClaimSeverity,FrequencyLevel,SeverityLevel,Quadrant
18-25,Low (<=6),27084.0,11540.021509094993,1608.0,0.13934116142961198,6030163.960000001,3750.10196517413,High,High,High Frequency / High Severity
18-25,Mid (7-9),10210.0,4088.5939059809866,696.0,0.1702296721085111,6123141.1899999995,8797.61665229885,High,High,High Frequency / High Severity
18-25,High (10+),1599.0,596.7878478928063,99.0,0.1658880963303096,153956.39,1555.1150505050507,High,Low,High Frequency / Low Severity
26-35,Low (<=6),91712.0,43752.50955535594,3114.0,0.07117306028035143,6511893.1899999995,2091.1667276814387,Low,High,Low Frequency / High Severity
26-35,Mid (7-9),45651.0,20489.807410734335,1593.0,0.07774597232990334,2993888.26,1879.4025486503451,High,Low,High Frequency / Low Severity
26-35,High (10+),11817.0,4994.441109364474,460.0,0.09210239743091765,1101467.35,2394.494239130435,High,High,High Frequency / High Severity
36-45,Low (<=6),91753.0,48553.41822666368,3462.0,0.07130290979387321,5698944.17,1646.1421634893125,High,Low,High Frequency / Low Severity
36-45,Mid (7-9),59531.0,30162.65333258477,2123.0,0.07038505454380961,4742730.17,2233.975586434291,Low,High,Low Frequency / High Severity
36-45,High (10+),19061.0,8936.984727898795,730.0,0.0816830309356065,1677337.5,2297.722602739726,High,High,High Frequency / High Severity
46-55,Low (<=6),89614.0,50557.451766599304,3762.0,0.0744103958674072,7168678.66,1886.4943842105263,High,Low,High Frequency / Low Severity
46-55,Mid (7-9),54719.0,29925.075510142975,2127.0,0.07107751488476821,3852272.86,1811.1296944052656,Low,Low,Low Frequency / Low Severity
46-55,High (10+),17562.0,8746.269131671532,695.0,0.07946245302277544,1305542.77,1878.4788057553958,High,Low,High Frequency / Low Severity
56-65,Low (<=6),47915.0,28246.216659181075,1760.0,0.06230922963015418,3633024.04,2064.2182045454547,Low,Low,Low Frequency / Low Severity
56-65,Mid (7-9),31589.0,17930.749641440227,1146.0,0.0639125537368192,1918499.9099999997,1674.0836910994763,Low,Low,Low Frequency / Low Severity
56-65,High (10+),11183.0,5578.406960850363,410.0,0.07349768542836829,716091.6799999999,1746.5650731707315,High,Low,High Frequency / Low Severity
66-75,Low (<=6),28347.0,18805.959029118945,1112.0,0.059130193694359914,2501143.61,2249.2298651079136,Low,High,Low Frequency / High Severity
66-75,Mid (7-9),15593.0,9740.214651545775,539.0,0.05533758949700975,1215090.82,2250.1681851851854,Low,High,Low Frequency / High Severity
66-75,High (10+),4107.0,2209.2997956433865,118.0,0.05341058747784673,387805.12,3286.48406779661,Low,High,Low Frequency / High Severity
76+,Low (<=6),12706.0,9233.239550864586,567.0,0.061408565961760087,1089929.77,1922.2747266313934,Low,Low,Low Frequency / Low Severity
76+,Mid (7-9),5143.0,3591.4722089976794,233.0,0.06487590225987756,800492.1099999999,3435.588454935622,Low,High,Low Frequency / High Severity
76+,High (10+),1095.0,663.9229313571375,51.0,0.07681614475305128,287122.97,5629.862156862745,High,High,High Frequency / High Severity
