Region,PolicyCount,Exposure,ClaimCount,ClaimFrequency,TotalClaimCost,AvgClaimSeverity,CostPerPolicy,CostPerExposureYear
Centre,160595.0,102701.39338573246,6475.0,0.06304685639152705,19074802.36,2945.915422393822,118.77581717986239,185.73070657724804
Rhone-Alpes,84748.0,45328.71728572498,4233.0,0.09338450883835324,10278303.850000001,2428.136983227026,121.28078361731252,226.7503795708966
Provence-Alpes-Cotes-D'Azur,79315.0,35748.98101504603,2985.0,0.08349888347149456,6871024.8,2301.0799732083055,86.62957574229338,192.2019762495642
Ile-de-France,69789.0,30196.651954487614,2591.0,0.08580421445083232,4563221.859999999,1761.181729062138,65.38597572683373,151.11681476733534
Bretagne,42120.0,27751.773674676246,1871.0,0.06741911424952651,3901051.2499999995,2085.0086851950828,92.61755104463437,140.56943875842234
Pays-de-la-Loire,38747.0,21927.441164757838,1576.0,0.07187341140985362,2570964.9299999997,1631.3229251269033,66.35261904147417,117.24874373997176
Languedoc-Roussillon,35805.0,14710.624176959353,1030.0,0.07001742329963448,2030911.0799999998,1901.6021348314605,56.72143778801843,138.05743764298816
Aquitaine,31329.0,14316.166692117673,1055.0,0.07369291114645037,1916138.54,1816.2450616113745,61.1618162086246,133.8443859455063
Nord-Pas-de-Calais,27284.0,11487.074269032113,944.0,0.08217932415958344,1634689.7200000002,1731.662838983051,59.91385867174902,142.3068817798927
Poitou-Charentes,19046.0,11163.008715472715,800.0,0.07166526698945812,1305107.78,1631.3847250000001,68.52398298855402,116.9136218796487
Lorraine,12990.0,8112.4879721536045,468.0,0.057688837457315956,1034301.2999999998,2210.0455128205126,79.6228868360277,127.49495636237302
Basse-Normandie,10892.0,6652.55114230107,452.0,0.06794385948059865,929847.31,2057.184314159292,85.36974935732648,139.77304196693066
Picardie,7994.0,3572.8402208249117,314.0,0.08788526231030348,687624.8700000001,2189.8881210191084,86.01762196647488,192.45889194598197
Bourgogne,10491.0,5022.728609177334,345.0,0.06868776452895134,636298.04,1844.3421449275363,60.65180059098275,126.68373896160367
Midi-Pyrenees,17141.0,7014.428554532526,369.0,0.05260585336799284,539385.27,1461.7486991869919,31.467549734554577,76.89653773028517
Champagne-Ardenne,3025.0,1203.3915090949922,77.0,0.06398582624029621,481248.34,6249.978441558442,159.09036033057853,399.9100345671557
Corse,4516.0,1765.935399356239,132.0,0.07474792115731968,464582.54999999993,3519.564772727272,102.87478963684676,263.0801501398979
Haute-Normandie,8784.0,3176.8821813009954,220.0,0.06925028611224912,327493.58,1488.607181818182,37.28296675774135,103.08647324965794
Limousin,4567.0,2395.7345422561566,197.0,0.08222947765092431,280285.14,1422.7672081218275,61.371828333698275,116.99340434272179
Auvergne,5287.0,2322.274228609926,141.0,0.06071634360098816,183974.83000000002,1304.7860283687944,34.79758464157367,79.22183682420841
Alsace,2200.0,1208.6358230406468,92.0,0.07611887571605265,121424.99,1319.836847826087,55.193177272727276,100.46449698514061
Franche-Comte,1326.0,563.7729463283181,38.0,0.0674030214601152,76534.11,2014.0555263157894,57.71803167420815,135.75342786212678
