ClaimRank,ClaimRankShare,ClaimAmount,CumulativeCost,CumulativeCostShare
1,3.7815761609438814e-05,4075400.56,4075400.56,0.06802627038195366
133,0.005029496294055362,34463.16,19743176.050000012,0.3295515649082143
265,0.010021176826501286,16510.22,22773883.740000002,0.3801399028478365
397,0.01501285735894721,11715.01,24602629.73,0.4106651892200927
529,0.020004537891393132,9743.71,25982222.690000016,0.43369324801635517
661,0.024996218423839055,8158.13,27149042.440000016,0.45316971287714997
793,0.02998789895628498,7057.8,28151331.18000003,0.46989983886703024
925,0.0349795794887309,6295.77,29045508.670000017,0.4848253802484634
1057,0.039971260021176826,5648.62,29831629.780000016,0.4979472529072387
1189,0.04496294055362275,5130.03,30542801.780000027,0.5098180808290161
1321,0.04995462108606867,4795.76,31199039.300000038,0.5207719466670047
1453,0.0549463016185146,4410.21,31804652.340000007,0.5308807926072612
1585,0.05993798215096052,4138.5,32366046.960000012,0.5402515481069596
1717,0.06492966268340644,3872.0,32894556.34000002,0.5490733857285551
1849,0.06992134321585236,3666.43,33389920.010000017,0.5573419577269887
1981,0.0749130237482983,3425.66,33858487.230000004,0.5651632454582344
2113,0.07990470428074421,3207.61,34296431.88000003,0.5724733836237039
2245,0.08489638481319013,3152.09,34718040.32000002,0.5795108390375966
2377,0.08988806534563606,3006.14,35124216.600000024,0.5862907020324665
2509,0.09487974587808198,2905.32,35516057.430000015,0.5928312788066593
2641,0.0998714264105279,2772.56,35890189.38999999,0.5990762604949106
2773,0.10486310694297384,2670.6,36248084.19,0.6050502127665114
2905,0.10985478747541975,2574.48,36594856.62999994,0.6108385114667614
3037,0.11484646800786567,2502.71,36929378.70999994,0.6164223281070608
3169,0.1198381485403116,2408.0,37253456.96999993,0.6218318173131163
3301,0.12482982907275753,2315.25,37566231.919999965,0.6270526325444428
3433,0.12982150960520344,2227.07,37865335.9,0.6320452530037678
3565,0.13481319013764936,2171.46,38155314.99999999,0.6368855616731358
3697,0.13980487067009528,2085.77,38436027.839999996,0.6415711986485417
3829,0.14479655120254123,2010.94,38706612.30999997,0.6460877736566623
3961,0.14978823173498715,1943.27,38968578.77999997,0.6504604976765131
4093,0.15477991226743307,1890.37,39221951.7099999,0.6546897789925177
4225,0.159771592799879,1827.72,39467187.0699999,0.6587832286205897
4357,0.1647632733323249,1765.5,39704248.16999994,0.6627402341340909
4489,0.16975495386477082,1711.0,39933848.379999936,0.6665727030497876
4621,0.17474663439721677,1666.22,40156773.17999994,0.670293746538981
4753,0.1797383149296627,1618.57,40373382.519999936,0.6739093728591816
4885,0.1847299954621086,1571.64,40583877.00999991,0.6774229305769657
5017,0.18972167599455453,1524.49,40788076.85999991,0.6808314186515845
5149,0.19471335652700045,1500.0,40987203.91999993,0.6841552321085675
5281,0.19970503705944637,1463.6,41183376.59999991,0.6874297312834982
5413,0.2046967175918923,1435.0,41374773.319999896,0.6906245105041542
5545,0.20968839812433823,1406.14,41562079.15999986,0.6937510050728148
5677,0.21468007865678415,1373.24,41745609.77999989,0.6968144839617438
5809,0.21967175918923007,1346.4,41924531.51999982,0.6998010317828112
5941,0.224663439721676,1320.0,42100183.999999784,0.7027330093692643
6073,0.2296551202541219,1320.0,42274423.999999784,0.7056414099489982
6205,0.23464680078656786,1291.01,42446926.61999982,0.7085208103163863
6337,0.23963848131901377,1262.54,42615764.74999986,0.7113390433006224
6469,0.2446301618514597,1231.75,42780370.21999986,0.7140866250520879
6601,0.2496218423839056,1214.19,42942032.83999977,0.7167850849793667
6733,0.25461352291635153,1204.0,43101250.28999979,0.719442730318461
6865,0.25960520344879745,1204.0,43260178.28999979,0.7220955441805819
6997,0.26459688398124337,1204.0,43419106.28999979,0.7247483580427027
7129,0.2695885645136893,1204.0,43578034.28999979,0.7274011719048236
7261,0.2745802450461352,1204.0,43736962.28999979,0.7300539857669444
7393,0.2795719255785811,1204.0,43895890.28999979,0.7327067996290653
7525,0.2845636061110271,1204.0,44054818.28999979,0.7353596134911862
7657,0.289555286643473,1204.0,44213746.28999979,0.738012427353307
7789,0.29454696717591894,1204.0,44372674.28999979,0.7406652412154279
7921,0.29953864770836486,1204.0,44531602.28999979,0.7433180550775487
8053,0.3045303282408108,1204.0,44690530.28999979,0.7459708689396696
8185,0.3095220087732567,1204.0,44849458.28999979,0.7486236828017905
8317,0.3145136893057026,1204.0,45008386.28999979,0.7512764966639113
8449,0.31950536983814853,1204.0,45167314.28999979,0.7539293105260322
8581,0.32449705037059445,1204.0,45326242.28999979,0.7565821243881531
