Region,Area,PolicyCount,Exposure,ClaimCount,ClaimFrequency,TotalClaimCost,AvgClaimSeverity,FreqVsPortfolio
Picardie,E,1802.0,847.4141964218879,93.0,0.10974562426813493,147671.05,1587.860752688172,1.4893630226097605
Rhone-Alpes,E,26239.0,13883.21913316865,1503.0,0.1082601942375998,3842867.55,2556.798103792415,1.469204181882336
Centre,E,9380.0,4782.335473463582,503.0,0.10517873595256269,978160.49,1944.6530616302186,1.427385566734312
Rhone-Alpes,D,23012.0,12197.146690620557,1261.0,0.10338483515736448,4019178.08,3187.2942743854082,1.4030404547682014
Provence-Alpes-Cotes-D'Azur,E,27238.0,13261.113596826111,1348.0,0.10165058840327162,3230581.23,2394.797057079318,1.379504910596379
Limousin,C,1407.0,768.3804057189909,76.0,0.09890934156355156,101666.5,1337.717105263158,1.3423033209553208
Poitou-Charentes,D,5471.0,3104.2144501833973,305.0,0.09825352110643663,425878.78,1396.323868852459,1.3334031507224597
Ile-de-France,F,17953.0,8124.954073658208,774.0,0.0952620769278406,1179606.42,1524.0393023255813,1.2928061212416608
Bretagne,E,4121.0,2389.4290381016544,225.0,0.09416475501559872,333786.89,1483.497288888889,1.2779143140202678
Nord-Pas-de-Calais,E,7044.0,2582.2476061082416,243.0,0.09410406632779507,452127.68000000005,1860.6077366255147,1.2770907049870308
